Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
roselia,0.0,,
whismur,0.0,,
wooper,0.0,0.0,0.0
zubat,0.0,,
ivysaur,0.0,,0.0
vespiquen,0.0,0.0,2e-05
rufflet,0.0,0.0,0.0
vulpix-alola,0.0,0.00027,0.0
kubfu,0.0,0.0,0.0
meowth,0.0,0.0,0.0
tirtouga,0.0,,
kadabra,0.0,,
pumpkaboo-super,0.0,,
scraggy,0.0,,0.0
inkay,0.0,,0.0
gastly,0.0,0.0,0.0
relicanth,0.0,,
honedge,0.0,,
rookidee,0.0,0.0,0.0
yamper,0.0,,
sealeo,0.0,,
marill,0.0,0.0,0.0
machoke,0.0,,
larvesta,0.0,0.0,0.0
sliggoo,0.0,0.0,0.0
scorbunny,0.0,0.0,0.0
electabuzz,0.0,,0.11324
sinistea,0.0,0.0,0.0
purrloin,0.0,,
gourgeist-large,0.0,,
gabite,0.0,0.0,0.0
stunfisk-galar,0.0,,
boldore,0.0,,
arrokuda,0.0,0.0,0.0
drakloak,0.0,0.0,0.0
sawk,0.0,,
grovyle,0.0,,0.0
lampent,0.0,0.0,0.0
vulpix,0.0,1e-05,0.0
joltik,0.0,,0.0
piloswine,0.0,0.02666,0.0
snover,0.0,0.0,0.0
combusken,0.0,,0.0
marshtomp,0.0,,0.0
sandygast,0.0,0.0,0.0
slowpoke,0.0,0.02128,0.0022
wynaut,0.0,,
noctowl,0.0,0.00113,5e-05
zweilous,0.0,0.0,0.0
wimpod,0.0,,
yamask,0.0,,
wooloo,0.0,,
fletchinder,0.0,0.0,0.0
cufant,0.0,0.0,0.0
binacle,0.0,,
applin,0.0,0.0,0.0
cutiefly,0.0,0.0,0.0
minccino,0.0,,0.0
goldeen,0.0,,
poliwhirl,0.0,0.0,1e-05
dartrix,0.0,0.0,0.0
salandit,0.0,0.0,0.0
togepi,0.0,,
bergmite,0.0,0.0,0.0
treecko,0.0,,0.0
cherubi,0.0,,
chinchou,0.0,,0.0
cleffa,0.0,3e-05,0.0
mareanie,0.0,0.0,0.0
poipole,0.0,,
wingull,0.0,0.0,0.0
staryu,0.0,,
pidove,0.0,,
budew,0.0,,
grubbin,0.0,0.0,0.0
abra,0.0,,
litten,0.0,,0.0
pawniard,0.0,0.0,0.0
electrike,0.0,,
phantump,0.0,0.0,0.0
spheal,0.0,,
sobble,0.0,0.0,0.0
larvitar,0.0,0.0,0.0
hattrem,0.0,0.0,0.0
golbat,0.0,,
carvanha,0.0,,
shellder,0.0,0.0,0.0
chewtle,0.0,0.0,0.0
dratini,0.0,0.0,0.0
bonsly,0.0,0.0,0.0
pinsir,0.0,,
shelgon,0.0,0.0,0.0
clauncher,0.0,0.0,0.0
raboot,0.0,0.0,0.0
drifloon,0.0,0.0,0.0
milcery,0.0,,0.0
rockruff,0.0,0.0,0.0
blipbug,0.0,,
yamask-galar,0.0,,
corvisquire,0.0,0.0,0.0
shinx,0.0,0.0,0.0
dragonair,0.0,0.0,0.0
wailmer,0.0,,
lileep,0.0,,
shelmet,0.0,,
sizzlipede,0.0,,
vibrava,0.0,,0.0
luxio,0.0,0.0,0.0
darumaka,0.0,,
tyrunt,0.0,,
litwick,0.0,0.0,0.0
poliwag,0.0,0.0,0.0
amaura,0.0,,
lairon,0.0,,
metang,0.0,,0.0
torchic,0.0,,0.0
cubone,0.0,,
